"ID","Sire","Dam"
"1788","1146","582"
"1831","4418","2524"
"1962","362","2611"
"1963","1177","2611"
"1965","2629","2611"
"2041","4909","1061"
"2047","1177","1061"
"2050","2629","1061"
"2097","3726","5301"
"2119","1680","2087"
"2630","3726","5302"
"2830","1749","1580"
"3203","3883","1059"
"3205","5124","1059"
"3540","462","2133"
"3651","2949","4337"
"3652","362","4337"
"3657","2629","4337"
"3901","1177","3515"
"3903","5174","3515"
"4654","5081","4966"
"4655","5081","4966"
"4658","1669","4966"
"4660","1669","4966"
"4857","3726","4944"
"4924","1162","1580"
"5325","5081","3514"
"5327","1689","3514"
"5328","1703","3514"
"5329","1686","3514"
"5439","3726","1223"
"204","4222","4963"
"217","4922","5264"
"219","2818","5264"
"220","4184","5264"
"296","2167","581"
"612","5214","3823"
"868","4469","371"
"888","2818","911"
"894","4177","1054"
"900","514","1054"
"1030","5455","1056"
"1131","4183","342"
"1784","3065","582"
"1790","2167","582"
"1833","5214","2524"
"1864","2983","2526"
"1871","5214","2526"
"1960","2924","2611"
"2066","3273","3942"
"2090","1721","4185"
"2104","4222","5301"
"2139","1162","5265"
"2748","4031","516"
"2825","4673","389"
"2852","2924","5113"
"2856","5430","5113"
"3013","2174","5088"
"3204","4466","1059"
"3248","5028","265"
"3249","5214","265"
"3251","1229","265"
"3507","323","1060"
"3617","2174","3609"
"3642","4552","264"
"3827","4184","4414"
"3831","514","3440"
"4464","4552","5448"
"4859","4222","4944"
"5058","4222","5031"
"5060","2924","5031"
"5183","2924","4470"
"5333","4222","886"
"5442","4222","1223"
"294","4183","581"
"823","926","3874"
"898","3715","1054"
"1787","5304","582"
"1789","5304","582"
"1792","813","582"
"1826","5711","2524"
"1828","5304","2524"
"1829","4338","2524"
"1830","5304","2524"
"1869","5304","2526"
"1961","5322","2611"
"1964","1710","2611"
"2042","5304","1061"
"2043","2818","1061"
"2044","2193","1061"
"2045","4241","1061"
"2048","1162","1061"
"2101","4183","5301"
"2130","4182","1126"
"2631","4183","5302"
"2633","4922","5302"
"2746","4183","516"
"3247","5304","265"
"3250","4338","265"
"3425","4673","3462"
"3509","813","1060"
"3539","5322","2133"
"3654","2193","4337"
"3656","1162","4337"
"3835","189","261"
"3899","4183","3515"
"3900","4341","3515"
"3902","1071","3515"
"3904","4343","3515"
"4657","1071","4966"
"4659","1071","4966"
"4821","4338","4943"
"4822","189","4943"
"4824","2818","4943"
"4840","2217","4964"
"4843","4343","4964"
"4932","1739","3819"
"5059","5102","5031"
"5185","5322","4470"
"5326","1721","3514"
"168",NA,"203"
"210",NA,"664"
"254",NA,"2215"
"357",NA,"880"
"1232",NA,"2958"
"1720","90",NA
"2014",NA,"661"
"2438",NA,"5168"
"2460",NA,"4839"
"3252",NA,"118"
"3748",NA,"4019"
"4117",NA,"483"
"4118",NA,"483"
"4119",NA,"483"
"4123",NA,"483"
"4242","205",NA
"4530",NA,"3270"
"4904",NA,"4225"
"5245",NA,"3271"
"5295",NA,"112"
"5402",NA,"5411"
"5501",NA,"4920"
"5505",NA,"4920"
"5512","2737",NA
"49","1680","4837"
"51","272","4837"
"166","1669","203"
"378","1695","406"
"650","3883","881"
"652","4909","881"
"790","1177","5440"
"793","2629","5440"
"794","272","5440"
"1113","1686","3849"
"1935","362","5437"
"1936","1146","5437"
"1937","4418","5437"
"2059","2629","5332"
"2061","2629","5332"
"2063","272","5332"
"2200","32","4823"
"2223","2176","352"
"2231","272","352"
"2255","2417","3199"
"2256","3189","3199"
"2257","3189","3199"
"2310","1146","2756"
"2434","5081","5168"
"2435","5081","5168"
"2437","1669","5168"
"2440","5174","5168"
"2494","1177","3129"
"2656","1146","2619"
"3043","1177","2065"
"3133","2147","476"
"3173","2147","3201"
"3184","1669","5169"
"3187","5174","5169"
"3856","3822","3431"
"3861","362","2031"
"3906","4418","2961"
"3912","272","2961"
"3986","1669","3847"
"3987","5174","3847"
"4080","1146","2960"
"4487","1146","2453"
"4492","1177","4838"
"4533","2949","3270"
"4762","272","2273"
"4791","1177","5441"
"4793","2629","5441"
"4795","272","5441"
"4796","272","5441"
"4810","1727","1578"
"4834","5174","4224"
"5044","362","668"
"5045","1742","668"
"5240","3883","3271"
"5241","3726","3271"
"5404","5081","5411"
"5405","5081","5411"
"5502","3883","4920"
"5506","3726","4920"
"5549","272","671"
"121","2970","190"
"222","2178","5264"
"359","4466","880"
