ID,Mother,BirthYear,Sex,BirthWt
1211,5239,1990,2,7.300000381
1236,2958,1990,2,7.44
1787,582,1990,1,8.32
1828,2524,1990,2,7.920000381
1878,3618,1990,1,5.054999905
1944,3859,1990,1,6.479999809
1961,2611,1990,2,7.530000191
2045,1061,1990,1,6.810000095
2068,3942,1990,2,7.140000191
2088,4185,1990,1,6.040000095
2104,5301,1990,1,5.240000191
2113,1973,1990,1,7.740000381
2137,5265,1990,2,6.34
2219,4961,1990,2,6.810000095
2260,3199,1990,2,6.874999905
2274,3968,1990,2,6.5
2296,3969,1990,1,6.239999905
2435,5168,1990,1,7.624999809
2528,402,1990,1,7.479999905
2583,2630,1990,2,6.940000191
2633,5302,1990,2,6.710000191
2746,516,1990,2,8.32
2809,4946,1990,1,4.024999905
2852,5113,1990,2,5.259999809
3182,5169,1990,2,7.609999809
3248,265,1990,2,6.630000095
3640,264,1990,1,8.755000191
3648,894,1990,2,7.82
3654,4337,1990,1,7.310000095
3748,4019,1990,2,6.699999809
3826,4414,1990,2,6.680000095
3840,261,1990,1,7.225000191
3847,3512,1990,1,6.600000095
3899,3515,1990,2,7.32
4029,3867,1990,1,6.419999905
4082,2960,1990,2,4.739999905
4345,1173,1990,2,7.310000095
4460,5448,1990,2,6.06
4621,4921,1990,2,6.540000095
4823,4943,1990,1,7.210000191
4932,3819,1990,1,7.64
5059,5031,1990,2,7.549999809
5333,886,1990,2,7.094999809
5404,5411,1990,2,9.2
5477,260,1990,1,7.855000095
33,2258,1991,1,5.600000095
46,4837,1991,1,6.094999809
93,2789,1991,1,5.91
112,4967,1991,1,7.220000191
165,203,1991,2,7.319999619
196,2270,1991,2,7.450000095
205,4963,1991,2,5.82
312,3860,1991,1,5.120000191
635,3204,1991,1,7.14
789,5440,1991,2,6.210000191
869,371,1991,2,7
1097,1207,1991,1,5.760000191
1136,3377,1991,2,6.440000191
1142,5170,1991,1,7.020000381
1212,5239,1991,1,7.32
1237,2958,1991,2,8.560000381
1788,582,1991,1,7.339999809
1829,2524,1991,2,8.025000381
1933,1885,1991,1,6.940000191
1937,5437,1991,1,8.14
1962,2611,1991,1,8.78
2016,661,1991,2,7.28
2069,3942,1991,1,4.82
2089,4185,1991,2,6.82
2138,5265,1991,2,6.87
2225,352,1991,2,6.14
2261,3199,1991,2,5.460000095
2297,3969,1991,2,5.91
2311,2756,1991,2,8.979999809
2493,3129,1991,2,7.28
2529,402,1991,2,4.94
2561,2618,1991,2,6.530000191
2584,2630,1991,1,6.32
2634,5302,1991,1,5.280000095
2656,2619,1991,1,5.239999905
2747,516,1991,1,6.360000191
2810,4946,1991,2,5.124999809
2824,389,1991,1,4.519999809
3042,2065,1991,1,4.659999905
3135,476,1991,1,7.124999809
3153,4618,1991,2,6.260000191
3176,3201,1991,2,5.710000191
3249,265,1991,2,6.26
3323,2744,1991,2,6.5
3421,3462,1991,2,6.379999905
3776,650,1991,2,7.2
3832,3440,1991,1,6.360000095
3841,261,1991,2,6.879999905
3848,3512,1991,1,7.620000191
3900,3515,1991,1,7.41
3906,2961,1991,1,5.680000191
4006,4945,1991,1,7.974999809
4363,651,1991,2,6.750000095
4399,3010,1991,2,4.519999905
4461,5448,1991,1,6.839999809
4562,2257,1991,1,5.28
4754,3652,1991,1,6.759999809
4824,4943,1991,1,6.190000095
4830,4224,1991,2,8.080000191
4839,4964,1991,1,8.019999809
4859,4944,1991,2,6.739999905
4871,3861,1991,1,3.78
4983,3773,1991,2,6.479999809
4989,5242,1991,1,6.100000095
5044,668,1991,1,6.479999809
5060,5031,1991,1,6.659999809
5185,4470,1991,1,5.080000191
5326,3514,1991,1,6.919999905
5405,5411,1991,2,5.440000191
5442,1223,1991,1,6.820000095
5478,260,1991,2,4.710000191
5508,2256,1991,2,6.34
5544,671,1991,2,6.64
34,2258,1992,2,5.039999905
94,2789,1992,1,5.64
222,5264,1992,2,5.14
521,3507,1992,2,7.899999809
612,3823,1992,1,7.020000381
795,2100,1992,2,4.679999905
1161,3651,1992,2,7.725000191
1164,823,1992,1,5.839999809
1238,2958,1992,2,5.225000191
1789,582,1992,1,6.030000191
1830,2524,1992,2,7.64
1868,2526,1992,2,7.339999809
1945,3859,1992,1,5.78
2046,1061,1992,2,5.739999905
2090,4185,1992,2,6.599999619
2107,4533,1992,2,6.360000191
2114,1973,1992,2,8.440000191
2312,2756,1992,1,5.78
2436,5168,1992,1,7.479999809
2530,402,1992,1,5.14
2585,2630,1992,1,5.569999905
2624,2433,1992,1,6.64
2635,5302,1992,1,5.91
2657,2619,1992,2,5.559999905
2748,516,1992,2,7.119999809
2811,4946,1992,1,4.64
2825,389,1992,2,4.519999905
3183,5169,1992,1,6.739999905
3250,265,1992,2,6.109999809
3540,2133,1992,2,8.119999809
3641,264,1992,2,8.119999809
3655,4337,1992,2,7.38
3697,887,1992,1,5.210000191
3827,4414,1992,1,5.979999809
3833,3440,1992,2,7.825000095
3842,261,1992,1,5.654999809
3907,2961,1992,1,3.899999809
4083,2960,1992,1,5.240000191
4127,634,1992,2,5.42
4227,3437,1992,1,7.64
4346,1173,1992,2,6.994999905
4364,651,1992,2,7.140000191
4462,5448,1992,2,7.32
4490,2453,1992,2,5.260000191
4492,4838,1992,1,5.979999809
4657,4966,1992,2,8.899999619
4755,3652,1992,2,7.17
4825,4943,1992,2,6.940000191
4840,4964,1992,2,8.154999809
4860,4944,1992,2,5.180000191
4904,4225,1992,2,6.515000191
4984,3773,1992,1,7.099999619
5006,3719,1992,2,7.619999809
5046,2044,1992,2,5.78
5172,3510,1992,2,7.64
5334,886,1992,1,7.120000191
5545,671,1992,1,5.820000095
35,2258,1993,1,7.710000191
47,4837,1993,2,7.340000095
114,4967,1993,1,7.539999905
166,203,1993,2,7.825000095
197,2270,1993,2,6.039999905
254,2215,1993,2,7.979999809
440,2259,1993,1,4.940000191
636,3204,1993,1,6.79
790,5440,1993,1,5.609999809
931,2527,1993,1,5.399999809
1199,91,1993,2,6.620000191
1213,5239,1993,2,5.600000095
1790,582,1993,2,7.06
1831,2524,1993,1,8.040000381
1869,2526,1993,2,8.46
1938,5437,1993,1,8.019999809
1963,2611,1993,2,7.710000381
2047,1061,1993,1,6.600000095
